title,year,engine_size,fuel_type,milage,price
BMW 3 Series 318d Sport M-performance Pack // 1 O,2016,2.0,Diesel,83000,18950
BMW 330E 2.0 PETROL // Plug In Hybrid // Low mil,2018,2.0,Hybrid,23900,29745
BMW 330d,2006,3.0,Diesel,198000,
BMW 3 Series 318i SE Saloon,2017,1.5,Petrol,34170,23950
BMW 3 Series 2013 BMW 318D M Sport M Performance,2013,2.0,Diesel,96318,
BMW 3 series,2005,2.0,Diesel,4,
2005 Bmw 320 d,2005,2.0,Diesel,295303,
E46 318ci,2003,2.0,Petrol,200000,
2013 BMW 320D MSPORT,2013,2.0,Diesel,151000,
Cars,2015,4,days,Kerry,
BMW 3-Series 320D Eff Dyn Business Edition 151,2015,2.0,Diesel,68000,16995
BMW 3 Series 330e Iperformance Phev 2seats Zleb 4,2017,2.0,Petrol,92855,
BMW 318 CI Convertible at Only 97k Mails,2005,2.0,Petrol,97000,
BMW 320D SE 2014,2014,2.0,Diesel,150000,
BMW 320D,2007,2.0,Diesel,346600,
BMW 3-Series 2012,2012,2.0,Diesel,133000,
BMW 320D Saloon,2008,2.0,Diesel,318089,
BMW 3-Series 2012,2012,2.0,Diesel,131000,
BMW 320d  Efficient Dynamics *low miles*,2012,2.0,Diesel,58300,10000
